title,abstract,publication_year,doi,type,oa_url,concepts,topics,keywords,pdf_url,authorships,cited_by_count
"The food and feeding ecology of Adélie penguins (Pygoscelis adeliae) and Chinstrap penguins (P. antarctica) at Signy Island, South Orkney Islands","Adélie Pygoscelis adeliae and Chinstrap P. antarctica penguins are important consumers of Southern Ocean marine resources. The stomach contents of adult penguins at Signy Island, South Orkney Islands, were analysed quantitatively throughout the chick‐rearing period. They consisted almost exclusively of Antarctic krill Euphausia superba , Adélies eating 35–63% by number and 23–28% by weight of juvenile krill and Chinstraps 72–87% by number and 90–95% by weight of mature krill, as well as small amounts offish and amphipods. Interspecific dietary differences may partly be attributable to Adélies starting breeding one month before Chinstraps but, as they persist when both are simultaneously rearing chicks, the two species may also forage in somewhat different areas. Krill data from net hauls indicate a substantial overlap in the size of krill taken by scientific, and probably also commercial, operations and by Adélie and Chinstrap penguins. Chicks were fed c. 300 g of food 0–5‐0‐8 times per day, Chinstrap chicks without a sibling being fed most frequently. Chicks of both species were most often fed in the late afternoon, and from estimates of swimming speed and feeding frequency adults may feed quite extensively at night.",1985,https://doi.org/10.1111/j.1469-7998.1985.tb03532.x,article,NA,,,,NA,,137
"Flexible foraging strategies of gentoo penguins Pygoscelis papua over 5 years in the South Shetland Islands, Antarctica",NA,2009,https://doi.org/10.1007/s00227-009-1277-z,article,NA,,,,NA,,86
"Foraging-Niche Separation of Breeding Gentoo and Chinstrap Penguins, South Shetland Islands, Antarctica","The realized niches of closely related species must differ if these species are to co-exist stably. The Gentoo (Pygoscelis papua) and Chinstrap Penguins (P. antarctica) breed concurrently in the Scotia Sea and Antarctic Peninsula regions. To identify species- and site-specific foraging niches, we compared the two species' foraging niches, including diet and foraging locations, at two sites in the South Shetland Islands with contrasting marine habitats. Both species fed primarily on Antarctic krill (Euphausia superba), though fish was also a component of the Gentoo Penguin's diet. Gentoo Penguins foraged closer to shore than did Chinstrap Penguins. Gentoo Penguins foraged during the day, while Chinstrap Penguins foraged throughout the diel cycle, sometimes traveling farther from shore on overnight foraging trips. In most cases, these species-specific foraging patterns were consistent with trends seen elsewhere in the region. However, within each species, site-specific differences in foraging niches were still evident. Overall, we observed that Gentoo Penguins traveled within consistent and limited distances from their colonies, but their diets varied by site in both meal mass and content. Chinstrap Penguins, in contrast, had a uniform diet of krill at both sites but varied the distance from shore and times at which they foraged.",2010,https://doi.org/10.1525/cond.2010.090221,article,https://academic.oup.com/condor/article-pdf/112/4/683/26964269/condor0683.pdf,,,,https://academic.oup.com/condor/article-pdf/112/4/683/26964269/condor0683.pdf,,70
"Comparison of diving behavior and foraging habitat use between chinstrap and gentoo penguins breeding in the South Shetland Islands, Antarctica",NA,2009,https://doi.org/10.1007/s00227-009-1364-1,article,NA,,,,NA,,89
"The comparative breeding biology of Adelie and Chinstrap Penguins <i>Pygoscelis adeliae</i> and <i>P. antarctica</i> at Signy Island, South Orkney Islands","Adélie Penguins and Chinstrap Penguins breed in abundance at Signy Island, South Orkney Islands, which is near the northern breeding limit of the former but in the centre of the latter's breeding range. During the 1980–81 and 1981–82 breeding seasons daily checks were made to record laying date and interval between laying, egg weight and volume, incubation period and shifts by each parent, hatching date and interval between hatching, the date on which the young first creched and their age at the time, and fledging date and age. This was done for the eggs and chicks from 60 marked nests of each species. Adelies started breeding about one month before Chinstraps and showed other adaptations which may relate to early breeding and probably to the presence of ice around the breeding site. These adaptations included longer incubation shifts and a heavier and larger first egg which may promote more rapid brood reduction. Chinstraps had shorter incubation shifts and both eggs had similar weights and volumes. Although the later breeding of Chinstraps meant that chick rearing coincided with the availability of a better food source than that utilized by Adelies, Chinstraps were unable to cope with persistent heavy ice conditions in 1980–81 and were no more successful than Adelies in 1981–82. All previous breeding data for both species are reviewed and it is suggested that early breeding by Adelies may be a consequence of competition for food with Chinstraps but, by retaining adaptations to harsh environmental conditions, Adelies are well able to breed successfully. Conversely, Chinstrap Penguins appear mainly adapted to milder environmental conditions and it is unlikely that they could compete successfully with Adelie Penguins at breeding sites on the Antarctic Continent.",1985,https://doi.org/10.1111/j.1474-919x.1985.tb05039.x,article,NA,,,,NA,,70
"Post-breeding dispersal of Adélie penguins (Pygoscelis adeliae) nesting at Signy Island, South Orkney Islands","ARGOS satellite telemetry and Global Location Sensors (geolocators) were used to identify the moult locations and the winter foraging dispersal of Adélie penguins after they left their breeding colonies on Signy Island in the South Orkney Islands. Animals were tracked during the period December 2004 to October 2005. All birds displayed a similar pattern of migratory behaviour, remaining away from colonies for approximately 9 months, at distances of up to 2,235 km. Moult locations were within the pack ice. Mean daily travel speeds to the moult locations were significantly faster when moving through open water than through pack ice. Moult occurred during February/March within a narrow latitudinal range (65–71°S), at a mean distance of 126 km from the ice edge; the mean duration of individual moult was c. 18.6 days. After moult, penguins spent the subsequent winter months moving north or north-eastward within the expanding winter pack ice, at a mean distance of 216 km from the ice edge, and in areas with ice cover >80%. The penguins returned to the vicinity of their colony between September 26 and October 22, 2005. This dependence of Adélie penguins on sea ice habitat suggests that any further reductions in sea ice extent in the Weddell Sea region would potentially have important impacts on the population processes of this pagophilic species.",2010,https://doi.org/10.1007/s00300-010-0870-4,article,https://link.springer.com/content/pdf/10.1007/s00300-010-0870-4.pdf,,,,https://link.springer.com/content/pdf/10.1007/s00300-010-0870-4.pdf,,37
"Adélie penguin (Pygoscelis adeliae) survival rates and their relationship to environmental indices in the South Shetland Islands, Antarctica","Seabird life history is typified by low fecundity, high adult survival rates, and relatively long lives. Such traits act as buffers, enabling persistence of populations under variable environmental conditions. Numerous studies, however, have suggested strong sensitivity of seabirds to environmental variability. In the Antarctic Peninsula region, for example, Adélie penguin (Pygoscelis adeliae) populations have declined during the last three decades, attributed largely to rapid changes in environmental conditions and food availability. We use 30 years of mark-recapture data from known-age individuals in the South Shetland Islands and capture-mark-recapture models to estimate survival rates with respect to such environmental variation. We investigated specifically whether negative trends in survival rates were evident and whether indices of global, regional, and local environmental conditions considered important for Adélie penguin survival explained the variability in survival rates. Overall, negative trends in juvenile survival were evident, but adult survival rates exhibited high interannual variability. Indices of sea ice extent had the strongest correlations with survival rates, particularly Weddell Sea ice extent during spring among adults (r = 0.62) and during winter for juveniles (r = 0.46). An analysis of deviance, however, suggested that single environmental covariates explained <30 % of the observed variation in the full mark-recapture models. Despite positive effects of sea ice extent on survival rates of Adélie penguins, limited explanatory power of several environmental conditions previously identified as important for Adélie penguin survival underscores the difficulty of predicting future population responses in this region of rapid environmental change.",2014,https://doi.org/10.1007/s00300-014-1562-2,article,https://link.springer.com/content/pdf/10.1007/s00300-014-1562-2.pdf,,,,https://link.springer.com/content/pdf/10.1007/s00300-014-1562-2.pdf,,29
Marine and terrestrial factors affecting Adélie­penguin Pygoscelis adeliae chick growth and recruitment off the western Antarctic Peninsula,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 436:273-289 (2011) - DOI: https://doi.org/10.3354/meps09242 Marine and terrestrial factors affecting Adélie ­penguin Pygoscelis adeliae chick growth and recruitment off the western Antarctic Peninsula Erik W. Chapman1,4,*, Eileen E. Hofmann1, Donna L. Patterson2, Christine A. Ribic3, William R. Fraser2 1Center for Coastal Physical Oceanography, Old Dominion University, 4111 Monarch Way, Norfolk, Virginia 23529, USA 2Polar Oceans Research Group, PO Box 368, Sheridan, Montana 59749, USA 3US Geological Survey Wisconsin Cooperative Wildlife Research Unit, Dept. Forest and Wildlife Ecology, University of Wisconsin, Madison, Wisconsin 53706, USA 4Present address: New Hampshire Sea Grant, University of New Hampshire Cooperative Extension, 131 Main Street, Durham, New Hampshire 03824, USA *Email: erik.chapman@unh.edu ABSTRACT: An individual-based bioenergetics model that simulates the growth of an Adélie penguin Pygoscelis adeliae chick from hatching to fledging was used to assess marine and terrestrial factors that affect chick growth and fledging mass off the western Antarctic Peninsula. Simulations considered the effects on Adélie penguin fledging mass of (1) modification of chick diet through the addition of Antarctic silverfish Pleuragramma antarcticum to an all-Antarctic krill Euphausia superba diet, (2) reduction of provisioning rate which may occur as a result of an environmental stress such as reduced prey availability, and (3) increased thermoregulatory costs due to wetting of chicks which may result from increased precipitation or snow-melt in colonies. Addition of 17% Antarctic silverfish of Age-Class 3 yr (AC3) to a penguin chick diet composed of Antarctic krill increased chick fledging mass by 5%. Environmental stress that results in >4% reduction in provisioning rate or wetting of just 10% of the chick’s surface area decreased fledging mass enough to reduce the chick’s probability of successful recruitment. The negative effects of reduced provisioning and wetting on chick growth can be compensated for by inclusion of Antarctic silverfish of AC3 and older in the chick diet. Results provide insight into climate-driven processes that influence chick growth and highlight a need for field research designed to investigate factors that determine the availability of AC3 and older Antarctic silverfish to foraging Adélie penguins and the influence of snowfall on chick wetting, thermoregulation and adult provisioning rate. KEY WORDS: Adélie penguin · Climate change · Chick growth · Antarctic Peninsula Full text in pdf format PreviousNextCite this article as: Chapman EW, Hofmann EE, Patterson DL, Ribic CA, Fraser WR (2011) Marine and terrestrial factors affecting Adélie ­penguin Pygoscelis adeliae chick growth and recruitment off the western Antarctic Peninsula. Mar Ecol Prog Ser 436:273-289. https://doi.org/10.3354/meps09242 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 436. Online publication date: August 31, 2011 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2011 Inter-Research.",2011,https://doi.org/10.3354/meps09242,article,https://www.int-res.com/articles/meps2011/436/m436p273.pdf,,,,https://www.int-res.com/articles/meps2011/436/m436p273.pdf,,59
Carbon fluxes and pelagic ecosystem dynamics near two western Antarctic Peninsula Adélie penguin colonies: an inverse model approach,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 492:253-272 (2013) - DOI: https://doi.org/10.3354/meps10534 Carbon fluxes and pelagic ecosystem dynamics near two western Antarctic Peninsula Adélie penguin colonies: an inverse model approach Sévrine F. Sailley1,6,*, Hugh W. Ducklow2, Holly V. Moeller1,7, William R. Fraser3, Oscar M. Schofield4, Deborah K. Steinberg5, Lori M. Garzio5, Scott C. Doney1 1Woods Hole Oceanographic Institution, Woods Hole, Massachusetts 02543, USA 2Lamont-Doherty Earth Observatory, Palisades, New York 10964, USA 3Polar Oceans Research Group, PO Box 368, Sheridan, Montana 59749, USA 4Institute of Marine and Coastal Sciences, Rutgers University, New Brunswick, New Jersey 08901, USA 5Virginia Institute of Marine Science, Gloucester Pt., Virginia 23062, USA 6Present address: Plymouth Marine Laboratory, Plymouth, PL13DH, UK 7Present address: Stanford University, Stanford, California 09425, USA *Email: sesa@pml.ac.uk ABSTRACT: An inverse food-web model for the western Antarctic Peninsula (WAP) pelagic food web was constrained with data from Palmer Long Term Ecological Research (PAL-LTER) project annual austral summer sampling cruises. Model solutions were generated for 2 regions with Adélie penguin Pygoscelis adeliae colonies presenting different population trends (a northern and a southern colony) for a 12 yr period (1995-2006). Counter to the standard paradigm, comparisons of carbon flow through bacteria, microzooplankton, and krill showed that the diatom-krill-top predator food chain is not the dominant pathway for organic carbon exchanges. The food web is more complex, including significant contributions by microzooplankton and the microbial loop. Using both inverse model results and network indices, it appears that in the northern WAP the food web is dominated by the microbial food web, with a temporal trend toward its increasing importance. The dominant pathway for the southern WAP food web varies from year to year, with no detectable temporal trend toward dominance of microzooplankton versus krill. In addition, sensitivity analyses indicated that the northern colony of Adélie penguins, whose population size has been declining over the past 35 yr, appears to have sufficient krill during summer to sustain its basic metabolic needs and rear chicks, suggesting the importance of other processes in regulating the Adélie population decline. KEY WORDS: Inverse model · Food web · Antarctica · Microzooplankton · Krill · Ecosystem state change · Climate change Full text in pdf format PreviousNextCite this article as: Sailley SF, Ducklow HW, Moeller HV, Fraser WR and others (2013) Carbon fluxes and pelagic ecosystem dynamics near two western Antarctic Peninsula Adélie penguin colonies: an inverse model approach. Mar Ecol Prog Ser 492:253-272. https://doi.org/10.3354/meps10534 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 492. Online publication date: October 31, 2013 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2013 Inter-Research.",2013,https://doi.org/10.3354/meps10534,article,https://doi.org/10.3354/meps10534,,,,NA,,89
Genetic structure of declining chinstrap penguin (Pygoscelis antarcticus) populations from South Shetland Islands (Antarctica),"Seabirds and their response to climate perturbations are important bioindicators of changes in Antarctic ecosystems. During 30 years of observations of two chinstrap penguin (Pygoscelis antarcticus) colonies, one on King George Island and the other on Penguin Island (South Shetland Islands, Antarctica), the size of the breeding populations decreased by 84 and 41 %, respectively. We applied analyses of amplified fragment length polymorphisms to study the genetic structure of the two populations and to evaluate the influence of the sudden population decrease. Our data indicate that there were only weak genetic differences between the populations, which were not strong enough to support the hypothesis of population differentiation. Weak genetic differences observed between the two populations seem not to be determined by selection processes. We hypothesize that the very low level of between-population genetic structure can be explained by some extent of genetic drift, which is largely compensated by gene flow. Moreover, the two populations seem to remain in a stationary state. Our results support the hypothesis of limited natal philopatry in chinstrap penguins. The observed decrease in population size is probably caused by emigration or a rise in juvenile mortality due to the increasing krill limitation of the marine food web. However, detailed research is required to address this issue.",2012,https://doi.org/10.1007/s00300-012-1210-7,article,https://link.springer.com/content/pdf/10.1007/s00300-012-1210-7.pdf,,,,https://link.springer.com/content/pdf/10.1007/s00300-012-1210-7.pdf,,20
