title,abstract,publication_year,doi,type,oa_url,concepts,topics,keywords,pdf_url,authorships,cited_by_count
Contrasting population changes in sympatric penguin species in association with climate warming,"Abstract Climate warming and associated sea ice reductions in Antarctica have modified habitat conditions for some species. These include the congeneric Adélie, chinstrap and gentoo penguins, which now demonstrate remarkable population responses to regional warming. However, inconsistencies in the direction of population changes between species at different study sites complicate the understanding of causal processes. Here, we show that at the South Orkney Islands where the three species breed sympatrically, the less ice‐adapted gentoo penguins increased significantly in numbers over the last 26 years, whereas chinstrap and Adélie penguins both declined. These trends occurred in parallel with regional long‐term warming and significant reduction in sea ice extent. Periodical warm events, with teleconnections to the tropical Pacific, caused cycles in sea ice leading to reduced prey biomass, and simultaneous interannual population decreases in the three penguin species. With the loss of sea ice, Adélie penguins were less buffered against the environment, their numbers fluctuated greatly and their population response was strong and linear. Chinstrap penguins, considered to be better adapted to ice‐free conditions, were affected by discrete events of locally increased ice cover, but showed less variable, nonlinear responses to sea ice loss. Gentoo penguins were temporarily affected by negative anomalies in regional sea ice, but persistent sea ice reductions were likely to increase their available niche, which is likely to be substantially segregated from that of their more abundant congeners. Thus, the regional consequences of global climate perturbations on the sea ice phenology affect the marine ecosystem, with repercussions for penguin food supply and competition for resources. Ultimately, variability in penguin populations with warming reflects the local balance between penguin adaptation to ice conditions and trophic‐mediated changes cascading from global climate forcing.",2006,https://doi.org/10.1111/j.1365-2486.2006.01108.x,article,"http://faculty.jsd.claremont.edu/emorhardt/159/pdfs/2007/forcada et al, 2006.pdf",,,,NA,,229
"Diversity and spatial distribution of seaweeds in the South Shetland Islands, Antarctica: an updated database for environmental monitoring under climate change scenarios",NA,2017,https://doi.org/10.1007/s00300-017-2092-5,article,NA,,,,NA,,52
"Population Size and Decadal Trends of Three Penguin Species Nesting at Signy Island, South Orkney Islands","We report long-term changes in population size of three species of sympatrically breeding pygoscelid penguins: Adélie (Pygoscelis adeliae), chinstrap (Pygoscelis antarctica) and gentoo (Pygoscelis papua ellsworthii) over a 38 year period at Signy Island, South Orkney Islands, based on annual counts from selected colonies and decadal all-island systematic counts of occupied nests. Comparing total numbers of breeding pairs over the whole island from 1978/79 to 2015/16 revealed varying fortunes: gentoo penguin pairs increased by 255%, (3.5% per annum), chinstrap penguins declined by 68% (-3.6% per annum) and Adélie penguins declined by 42% (-1.5% per annum). The chinstrap population has declined steadily over the last four decades. In contrast, Adélie and gentoo penguins have experienced phases of population increase and decline. Annual surveys of selected chinstrap and Adélie colonies produced similar trends from those revealed by island-wide surveys, allowing total island population trends to be inferred relatively well. However, while the annual colony counts of chinstrap and Adélie penguins showed a trend consistent in direction with the results from all-island surveys, the magnitude of estimated population change was markedly different between colony wide and all island counts. Annual population patterns suggest that pair numbers in the study areas partly reflect immigration and emigration of nesting birds between different parts of the island. Breeding success for all three species remained broadly stable over time in the annually monitored colonies. Breeding success rates in gentoo and chinstrap penguins were strongly correlated, despite the differing trends in population size. This study shows the importance of effective, standardised monitoring to accurately determine long-term population trajectories. Our results indicate significant declines in the Adélie and chinstrap penguin populations at Signy Island over the last five decades, and a gradual increase in gentoo breeding pairs.",2016,https://doi.org/10.1371/journal.pone.0164025,article,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0164025&type=printable,,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0164025&type=printable,,47
Stable isotopes reveal regional heterogeneity in the pre-breeding distribution and diets of sympatrically breeding Pygoscelis spp. penguins,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 421:265-277 (2011) - DOI: https://doi.org/10.3354/meps08863 Stable isotopes reveal regional heterogeneity in the pre-breeding distribution and diets of sympatrically breeding Pygoscelis spp. penguins Michael J. Polito1,*, Heather J. Lynch2, Ron Naveen3, Steven D. Emslie1 1Department of Biology and Marine Biology, University of North Carolina Wilmington, 601 South College Road, Wilmington, North Carolina 28403, USA 2Department of Biology, 3237 Biology-Psychology Building, University of Maryland, College Park, Maryland 20742, USA 3Oceanites Inc., PO Box 15259, Chevy Chase, Maryland 20825, USA *Email: mjp7454@uncw.edu ABSTRACT: While the foraging ecology of the Adélie penguin Pygoscelis adeliae and gentoo penguin P. papua has been well studied, little is known on the distribution and diet of these species outside the breeding season. In the present study we used stable carbon (δ13C) and nitrogen (δ15N) isotope analyses of eggshells to examine the pre-breeding diets and foraging habitats of female Adélie and gentoo penguins from 23 breeding colonies along the eastern and western Antarctic Peninsula (AP), South Shetland Islands, and South Orkney Islands, in 2006. Adélie penguin eggshells from the eastern AP, South Shetland Islands, and South Orkney Islands shared similar isotopic signatures and were significantly lower in both δ13C and δ15N values than eggshells from birds breeding along the western AP. This result suggests that Adélie penguin populations that are geographically separated during the breeding season by the Adélie ‘gap,’ a 400 km region in the western AP devoid of breeding Adélie penguins, also inhabit geographically distinct habitats during the late winter prior to the breeding season. To a lesser degree, gentoo penguin eggshell isotope values also varied across breeding colonies, which likely reflects local scale variation in their near-shore foraging grounds. Furthermore, unlike the breeding period when krill (primarily Euphausia superba) dominates penguin diets in these regions, our findings suggest that fish and/or other high trophic-level prey species comprise a significant portion (46.8 to 62.9%) of female Adélie and gentoo penguin diets prior to breeding. KEY WORDS: Stable isotope analysis · Adélie penguin · Gentoo penguin · Pygoscelis adeliae · Pygoscelis papua · Distribution · Diet Full text in pdf format PreviousNextCite this article as: Polito MJ, Lynch HJ, Naveen R, Emslie SD (2011) Stable isotopes reveal regional heterogeneity in the pre-breeding distribution and diets of sympatrically breeding Pygoscelis spp. penguins. Mar Ecol Prog Ser 421:265-277. https://doi.org/10.3354/meps08863 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 421. Online publication date: January 17, 2011 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2011 Inter-Research.",2010,https://doi.org/10.3354/meps08863,article,https://www.int-res.com/articles/meps2010/421/m421p265.pdf,,,,https://www.int-res.com/articles/meps2010/421/m421p265.pdf,,53
"Fifty-year change in penguin abundance on Elephant Island, South Shetland Islands, Antarctica: results of the 2019–20 census",NA,2020,https://doi.org/10.1007/s00300-020-02774-4,article,NA,,,,NA,,15
Microplastics in gentoo penguins from the Antarctic region,"Abstract There is growing evidence that microplastic pollution (&lt;5 mm in size) is now present in virtually all marine ecosystems, even in remote areas, such as the Arctic and the Antarctic. Microplastics have been found in water and sediments of the Antarctic but little is known of their ingestion by higher predators and mechanisms of their entry into Antarctic marine food webs. The goal of this study was to assess the occurrence of microplastics in a top predator, the gentoo penguin Pygoscelis papua from the Antarctic region (Bird Island, South Georgia and Signy Island, South Orkney Islands) and hence assess the potential for microplastic transfer through Antarctic marine food webs. To achieve this, the presence of microplastics in scats (as a proof of ingestion) was investigated to assess the viability of a non-invasive approach for microplastic analyses in Antarctic penguins. A total of 80 penguin scats were collected and any microplastics they contained were extracted. A total of 20% of penguin scats from both islands contained microplastics, consisting mainly of fibers and fragments with different sizes and polymer composition (mean abundance of microplastics: 0.23 ± 0.53 items individual −1 scat, comprising seven different polymers), which were lower values than those found for seabirds in other regions worldwide. No significant differences in microplastic numbers in penguin scats between the two regions were detected. These data highlight the need for further assessment of the levels of microplastics in this sensitive region of the planet, specifically studies on temporal trends and potential effects on penguins and other organisms in the Antarctic marine food web.",2019,https://doi.org/10.1038/s41598-019-50621-2,article,https://www.nature.com/articles/s41598-019-50621-2.pdf,,,,https://www.nature.com/articles/s41598-019-50621-2.pdf,,230
"A predator's perspective on causal links between climate change, physical forcing and ecosystem response","MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 265:1-15 (2003) - doi:10.3354/meps265001 A predator¹s perspective on causal links between climate change, physical forcing and ecosystem response William R. Fraser1,*, Eileen E. Hofmann2 1Polar Oceans Research Group, PO Box 368, Sheridan, Montana 59749, USA 2Center for Coastal Physical Oceanography, Department of Oceanography, Old Dominion University, Norfolk, Virginia 23529, USA *Email: bfraser@3rivers.net ABSTRACT: The mechanisms by which variability in sea ice cover and its effects on the demography of the Antarctic krill Euphausia superba cascade to other ecosystem components such as apex predators remain poorly understood at all spatial and temporal scales, yet these interactions are essential for understanding causal links between climate change, ecosystem response and resource monitoring and management in the Southern Ocean. To address some of these issues, we examined the long-term foraging responses of Adélie penguins Pygoscelis adeliae near Palmer Station, western Antarctic Peninsula, in relation to ice-induced changes in krill recruitment and availability. Our results suggest that (1) there is a direct, causal relationship between variability in ice cover, krill recruitment, prey availability and predator foraging ecology, (2) regional patterns and trends detected in this study are consistent with similar observations in areas as far north as South Georgia, and (3) large-scale forcing associated with the Antarctic Circumpolar Wave may be governing ecological interactions between ice, krill and their predators in the western Antarctic Peninsula and Scotia Sea regions. Another implication of our analyses is that during the last 2 decades in particular, krill populations have been sustained by strong age classes that emerge episodically every 4 to 5 yr. This raises the possibility that cohort senescence has become an additional ecosystem stressor in an environment where ice conditions conducive to good krill recruitment are deteriorating due to climate warming. In exploring these interactions, our results suggest that at least 1 Œsenescence event¹ has already occurred in the western Antarctic Peninsula region, and it accounts for significant coherent decreases in krill abundance, predator populations and predator foraging and breeding performance. We propose that krill longevity should be incorporated into models that seek to identify and understand causal links between climate change, physical forcing and ecosystem response in the western Antarctic Peninsula region. KEY WORDS: Antarctic Peninsula · Adélie penguin · Antarctic krill · Climate warming · Sea ice · Antarctic Circumpolar Wave · Foraging ecology · Population structure · Longevity Full text in pdf format NextExport citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 265. Online publication date: December 31, 2003 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2003 Inter-Research.",2003,https://doi.org/10.3354/meps265001,article,https://www.int-res.com/articles/meps2003/265/m265p001.pdf,,,,https://www.int-res.com/articles/meps2003/265/m265p001.pdf,,250
Diet and foraging areas of Southern Ocean seabirds and their prey inferred from stable isotopes: review and case study of Wilsons storm-petrel,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 295:295-304 (2005) - doi:10.3354/meps295295 Diet and foraging areas of Southern Ocean seabirds and their prey inferred from stable isotopes: review and case study of Wilsons storm-petrel Petra Quillfeldt1,3,*, Rona A. R. McGill2, Robert W. Furness1 1Institute of Biomedical and Life Sciences, Graham Kerr Building, University of Glasgow, Glasgow G12 8QQ, UK2Scottish Universities Research & Reactor Centre, East Kilbride, Glasgow G75 0QF, UK3Present address: Max Planck Institute for Ornithology, Vogelwarte Radolfzell, Schlossallee 2, 78315 Radolfzell, Germany *Email: petra.quillfeldt@gmx.de ABSTRACT: Analysis of stable isotope ratios in animal tissues has emerged as a powerful tool for determining the trophic level and composition of prey and foraging location. We summarize here data on the stepwise trophic enrichment in δ15N and latitudinal gradient in δ13C in the Southern Ocean, and derive a regression equation to estimate latitudes from δ13C values. We analysed isotope ratios of feathers of the small, pelagic seabird Wilsons storm-petrel Oceanites oceanicus, in different breeding stages, in comparison to isotope ratios of 4 other seabird species breeding in close vicinity on King George Island, South Shetland Islands. δ15N analysis of feathers and albumen from Wilsons storm-petrels indicated a shift in diet from mainly crustaceans during egg formation to an increased proportion of fish during chick-feeding and moulting. δ15N values of Wilsons storm-petrels during the chick-rearing season were closer to the mainly piscivorous-carnivorous skuas than to krill-feeding penguins, confirming that fish is an important part of their diet. δ13C analysis of feathers identified 4 distinct foraging areas: δ13C values in egg-white suggest that egg-forming females moved south to the sea ice edge. This coincides with the distribution of their main prey, Antarctic krill Euphausia superba, during this period. During the breeding season, Wilsons storm-petrels fed in the area around the colony, which is also used by penguins and skuas. δ13C of the feathers indicate that adults migrated to the Subtropical Front and beyond (north of 44°S) during the inter-breeding period. Feathers were also analysed from 10 Wilsons storm-petrels caught by mistnet and thought to be prebreeders because they lacked foot markings; 8 of these had moulted in the same area as breeding birds, while 2 birds had moulted in an area further north (north of 30°S). Adélie penguins Pygoscelis adeliae and Gentoo penguins P. papua had significantly different δ13C, suggesting that the Adélie penguins foraged further south than the Gentoo penguins. The foraging areas of brown skuas Stercorarius antarctica and south polar skuas S. maccormicki could not be separated by their isotope ratios. KEY WORDS: Stable isotopes · Diet · Foraging area · Oceanites oceanicus · Prey Full text in pdf format PreviousExport citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 295. Online publication date: June 23, 2005 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2005 Inter-Research.",2005,https://doi.org/10.3354/meps295295,article,https://www.int-res.com/articles/meps2005/295/m295p295.pdf,,,,https://www.int-res.com/articles/meps2005/295/m295p295.pdf,,166
Growth in pygoscelid penguin chicks,"A study of sympatrically breeding Adelie ( Pygoscelis adeliae ), Chinstrap ( P. antarctica ), and Gentoo ( P. papua ) penguins was undertaken on King George Island, South Shetland Islands to compare their rates and patterns of growth, and to relate these findings to pygoscelid breeding ecology. In contrast to other large oceanic birds, the logistic equation best described the biomass growth of pygoscelid penguins, as it did their culmen and flipper growth. Growth constants were 0146, 0127 and 0113; asymptotic weights were 3940 g, 4025 g and 5715 g for Adelie, Chinstrap and Gentoo penguins, respectively. Growth of feet and flippers was more rapid than culmen growth. Among the pygoscelids, the Adelie penguin has the most southern breeding range, the Gentoo the most northern; while the Chinstrap penguin's range is approximately intermediate to its congeners. In this and other studies, pygoscelid penguins show both an inverse correlation between their growth constants and asymptotic weights, and between their asymptotic weights and latitudinal distributions. Mean adult weights, however, are not correlated with latitudinal distributions as adult Adelie penguins weigh more than adult Chinstrap penguins. It is suggested that lower asymptotic weights are advantageous in the shorter breeding seasons found at higher latitudes. The similarity of growth rates of Adelie and Chinstrap penguins to day 37, and the decrease of the rate at which Chinstraps grow thereafter, does not support the hypothesis that Chinstrap penguin growth rates are retarded due to food competition with the Adelie penguin in areas of sympatry. The preponderance of krill ( Euphausia spp.) in the diet of all these pygoscelid penguins suggests that differences in growth or survival rates resulted from factors other than dietary differences. Due to lack of available data, other such variables affecting survival and growth rates (e.g. predation, foraging strategies) could not be assessed. Recently pygoscelid penguin populations have expanded, probably in response to increased food resources. Adelie and Chinstrap populations have increased more rapidly than Gentoo populations. It is suggested that the lower rate of increase of Gentoo populations reflects basic differences in ecological strategies among pygoscelids, as evidenced by their growth patterns.",1980,https://doi.org/10.1111/j.1469-7998.1980.tb01483.x,article,NA,,,,NA,,47
Differential advancement of breeding phenology in response to climate may alter staggered breeding among sympatric pygoscelid penguins,"MEPS Marine Ecology Progress Series Contact the journal Facebook Twitter RSS Mailing List Subscribe to our mailing list via Mailchimp HomeLatest VolumeAbout the JournalEditorsTheme Sections MEPS 454:135-145 (2012) - DOI: https://doi.org/10.3354/meps09252 Differential advancement of breeding phenology in response to climate may alter staggered breeding among sympatric pygoscelid penguins Heather J. Lynch1,4,*, William F. Fagan1, Ron Naveen2, Susan G. Trivelpiece3, Wayne Z. Trivelpiece3 1Department of Biology, University of Maryland, College Park, Maryland 20742, USA 2Oceanites, Inc., Chevy Chase, Maryland 20825, USA 3Antarctic Ecosystem Research Division, NOAA/SWFSC, La Jolla, California 92038, USA 4Present address: Department of Ecology & Evolution, Stony Brook University, Stony Brook, New York 11794, USA *Email: hlynch@life.bio.sunysb.edu ABSTRACT: Numerous studies link climate change with advancing breeding phenology in birds, but less frequently considered are the joint impacts on sympatrically breeding communities of birds. We used data on clutch initiation dates (CID) from 4 sites along the Western Antarctic Peninsula for 3 congeneric and sympatrically breeding penguin species (Adélie Pygoscelis adeliae, gentoo P. papua and chinstrap P. antarcticus) to understand what factors correlate with the phenology and synchrony of breeding and how these factors might change with the recent warming experienced in this region. We found that clutch initiation was most significantly correlated with October air temperatures such that all 3 species advanced clutch initiation to varying degrees in warmer years. Gentoo penguins were able to advance CID almost twice as much (3.2 d °C−1) as Adélie (1.7 d °C−1) and chinstrap penguins (1.8 d °C−1). Beyond the variation explained by mean October temperatures, there was an unexplained trend to earlier clutch initiation of 0.15 ± 0.05 d yr−1. Greater plasticity in gentoo breeding phenology compressed the mean interval between Adélie and gentoo breeding in warm years and this may increase competition for nesting space in mixed colonies. Our results suggest that differential responses in breeding phenology to changing temperatures represent an additional mechanism by which climate change may affect competitive interactions and, consequently, pygoscelid penguins on the Antarctic Peninsula. KEY WORDS: Breeding phenology · Climate change · Pygoscelid · Breeding asynchrony · Adélie penguin · Chinstrap penguin · Gentoo penguin · Interannual variability Full text in pdf format Supplementary material PreviousNextCite this article as: Lynch HJ, Fagan WF, Naveen R, Trivelpiece SG, Trivelpiece WZ (2012) Differential advancement of breeding phenology in response to climate may alter staggered breeding among sympatric pygoscelid penguins. Mar Ecol Prog Ser 454:135-145. https://doi.org/10.3354/meps09252 Export citation RSS - Facebook - Tweet - linkedIn Cited by Published in MEPS Vol. 454. Online publication date: May 21, 2012 Print ISSN: 0171-8630; Online ISSN: 1616-1599 Copyright © 2012 Inter-Research.",2011,https://doi.org/10.3354/meps09252,article,https://www.int-res.com/articles/theme/m454p135.pdf,,,,https://www.int-res.com/articles/theme/m454p135.pdf,,52
